epoch,fase,train_loss,val_loss,train_acc,val_acc,val_f1
0,1,0.6603195907184056,0.8043528310343867,0.7260571428571428,0.7013215122114419,0.39102307973065487
1,1,0.49708857267924716,0.9734046218051196,0.7970285714285714,0.6776513884242221,0.3805460492677554
2,1,0.4275473374911717,0.9250784486410071,0.8281428571428572,0.687604550016728,0.39129201011901954
3,1,0.3863111615385328,1.0999953669979068,0.8475428571428572,0.674305787888926,0.3882757930031189
4,1,0.36034679726873126,0.9256486347731409,0.8583714285714286,0.7240715958514553,0.3836834514011889
5,1,0.3301864474671228,1.036178509335776,0.8717428571428572,0.6815824690531951,0.3563307550370737
6,1,0.312089190694264,1.0370265940774968,0.8764571428571428,0.6997323519571763,0.3857167241713284
7,1,0.29877078310762134,1.0672886684426828,0.8850571428571429,0.724824355971897,0.4076534066853834
8,1,0.28232077355725427,1.0473990855858597,0.8916571428571428,0.7197223151555704,0.39852553496402143
9,1,0.27055506977353777,0.8155690707161093,0.8958285714285714,0.7364503178320508,0.4060346060983272
10,2,0.14209592212949482,1.0640727936025764,0.9482857142857143,0.7475744396119104,0.44921836423372163
11,2,0.05915068218708038,1.0295694879783988,0.9803714285714286,0.7883907661425226,0.4246680732343913
12,2,0.03687609809663679,1.1372112620431376,0.9881428571428571,0.7815322850451656,0.3773322330517666
13,2,0.026552913185102597,1.3676780608913024,0.9915428571428572,0.748327199732352,0.3491138337391395
14,2,0.019605345836255166,1.2955465465687293,0.9941428571428571,0.8001840080294412,0.42864328495144494
15,2,0.011110060943969127,1.3381813752309804,0.9969714285714286,0.7766811642689863,0.39087430109980664
16,2,0.006464934270050643,1.351078406602336,0.9981428571428571,0.7684844429575108,0.3723489335809898
17,2,0.005974767802768786,1.391566998810757,0.9982,0.7742556038808966,0.37504045177349454
