epoch,train_loss,val_loss,val_f1,val_balanced_acc
1,1.3961970315933228,1.257487267255783,0.2680854625392137,0.3317212301587301
2,1.3601344562530517,1.2296349078416824,0.22718836636003692,0.2973834325396825
3,1.3482860914230346,1.2230875700712205,0.21485195439729052,0.2814112103174603
4,1.3440137489318849,1.2860607177019119,0.21784585775411464,0.3155753968253968
5,1.3353866006851196,1.1619856029748916,0.28133272496776207,0.306969246031746
6,1.3261697189331054,1.205562061071396,0.28213538999829324,0.37493799603174605
7,1.3172660663604736,1.175678578019142,0.22179703052816954,0.2643973214285714
8,1.317872826576233,1.2034544408321382,0.25393321913767214,0.28043154761904765
9,1.3190243942260742,1.1664379477500915,0.26463773884223174,0.2944320436507937
10,1.3074490259170533,1.1165548473596574,0.2515927674742073,0.29685019841269844
11,0.8579745119094848,0.8740551710128784,0.6104495626875315,0.6462797619047619
12,0.5585087158203125,0.6744625180959701,0.7650440604687756,0.7555679563492064
13,0.3607642767548561,0.5609090749174357,0.8157342383462778,0.8090029761904762
14,0.22526450941562653,0.3636327516287565,0.9068202804399833,0.8996155753968254
15,0.1586057798832655,0.2869213469326496,0.9295509376082679,0.9277901785714285
16,0.10941274092197419,0.24742811722680927,0.9390882187492358,0.9423611111111111
17,0.0812751960799098,0.19800910521298648,0.9435943136611866,0.9386284722222222
18,0.06071923286765814,0.15511176944710314,0.9678002306054873,0.9636780753968254
19,0.05365636547729373,0.15794078460894526,0.9630689279025253,0.9603422619047619
20,0.04624514787495136,0.17030370766296982,0.9583354568933711,0.9547743055555555
21,0.03714841996561736,0.14514599597314373,0.9676534996372854,0.9638020833333334
22,0.0310390892338939,0.1548846306744963,0.9697611537266709,0.9633556547619048
23,0.02787813265491277,0.14468741340679117,0.9603586344965656,0.9630952380952381
24,0.027511299625225364,0.14642413741676136,0.9695537874009745,0.9644717261904763
25,0.02480393845885992,0.09759727819764522,0.9709878036754898,0.9711433531746032
26,0.024349387713801116,0.12261441020818893,0.9708874787676246,0.9680431547619048
27,0.017673763384576886,0.10962011319352313,0.9730803923232137,0.9679439484126984
28,0.017150856983917766,0.12315153439412825,0.9474074649011832,0.9642361111111111
29,0.01543303477964364,0.08992764276918024,0.9770291552710503,0.9700644841269841
30,0.015361422387510539,0.09033660015556962,0.9828193428848859,0.9775173611111111
