epoch,train_loss,val_loss,val_f1,val_balanced_acc
1,0.6666835555553436,0.8844555512070655,0.4856238581990474,0.5947048611111111
2,0.5135738458156586,0.7868192031979561,0.6387041785840232,0.6350074404761905
3,0.4389513942480087,0.6981309726834297,0.6876127519307466,0.7245535714285715
4,0.3982172795534134,0.649967597424984,0.7146168361083055,0.7214285714285714
5,0.35519252701997756,0.6868765518069267,0.7509268579230355,0.7506944444444444
6,0.31884791709184646,0.5814848184585572,0.791012319661407,0.773263888888889
7,0.28491056201457976,0.5170974433422089,0.8071267748552496,0.7843377976190476
8,0.26124919004440306,0.5415761180222034,0.7962228485140896,0.7983258928571428
9,0.23656880997419358,0.533781360834837,0.7939861287417679,0.8082713293650794
10,0.23117498853206633,0.47165321111679076,0.8178134250025637,0.8091641865079365
11,0.15557619898319244,0.34255549814552066,0.8952732591923311,0.8806051587301587
12,0.09309594460427761,0.2887643624097109,0.9312486457821723,0.922234623015873
13,0.06697493611834943,0.24676989801228047,0.9333937494071196,0.9242559523809524
14,0.050340300741419194,0.259790250658989,0.9279867641936608,0.9216021825396825
15,0.04106251424923539,0.22020180504769088,0.9146286504383936,0.8898313492063492
16,0.03152122099287808,0.23484455512370914,0.9452724626132957,0.9430679563492064
17,0.02535525255575776,0.2091317366808653,0.9257446343574494,0.8977306547619048
18,0.02209635057495907,0.20442702108994126,0.944546218715258,0.9367559523809524
19,0.018382595223840326,0.170208433130756,0.9541699521331043,0.9500992063492063
20,0.014693439620127901,0.1462279104627669,0.958568668657066,0.9526785714285714
21,0.014163481180230156,0.19704100317321718,0.9556286127589084,0.9548859126984127
22,0.014562027972284704,0.15817267487291248,0.9573148358717465,0.9478050595238096
23,0.013421849723160267,0.1393416396342218,0.9626448443555753,0.958234126984127
24,0.011063734793057665,0.18729715882800518,0.9532959681521049,0.9557539682539682
25,0.010564009892498142,0.1543508556904271,0.9658029107318217,0.9614707341269841
