epoch,train_loss,val_loss,val_f1,val_balanced_acc
1,0.6656210693836212,0.7725190564990043,0.6401799639175538,0.6956225198412698
2,0.504541799378395,0.684726881980896,0.7182515417809536,0.7549107142857143
3,0.4359708948850632,0.6475153759121894,0.7722880129450093,0.7673115079365079
4,0.3871756135463715,0.6394094333052636,0.7307672982073329,0.7667162698412698
5,0.34140215783119204,0.5849139019846916,0.800789119904282,0.7972346230158731
6,0.3157146040558815,0.5593377768993377,0.8096141603395047,0.8040550595238095
7,0.27765063658952716,0.6095720045268536,0.7443629539000665,0.7372891865079364
8,0.2596676775276661,0.5417297720909119,0.8159918528933203,0.8215029761904762
9,0.23413654301762582,0.5486186228692531,0.798948777359572,0.8068824404761905
10,0.23112947759330274,0.5501333110034465,0.7968464843743241,0.815860615079365
11,0.18558142700791358,0.2340539801865816,0.9329109870093477,0.9364955357142857
12,0.06102404040470719,0.14743013605475425,0.9612263995091098,0.9577876984126985
13,0.03253685735929757,0.09471384435892105,0.9757049513618963,0.9731646825396825
14,0.021579099807608873,0.08717161249369383,0.9751661774316425,0.9674107142857142
15,0.022081903530005366,0.09909803326008841,0.9686114268612658,0.968812003968254
16,0.013628237000992522,0.0865192561148433,0.9668025766399608,0.972594246031746
17,0.018282653955789284,0.04160306834819494,0.9904014686913559,0.9900793650793651
18,0.010984470592602156,0.0637781119759893,0.9838598574378739,0.9831845238095238
19,0.01604392109233886,0.05631469748768723,0.9827968991176539,0.9850570436507937
20,0.0061817835002322685,0.06405356680625118,0.9757285449967308,0.9698288690476191
21,0.01582147936510155,0.04083070176784531,0.9904704851370129,0.9875372023809524
22,0.005197902380058076,0.04558858773561951,0.9884591663533141,0.9866443452380953
23,0.00237734403219074,0.02634533165373796,0.9961517233361535,0.9953249007936508
24,0.0010297989581507863,0.015971409500161828,0.9970972649261118,0.9961061507936508
25,0.0022061589614633705,0.02235617036099029,0.9952961236080067,0.9933283730158731
26,0.0016535249276559624,0.014867071780417972,0.9952074208128973,0.9945436507936508
27,0.004671790497744223,0.026717686505980963,0.9914134962516954,0.9883184523809524
28,0.003844841718772659,0.03176160239308956,0.9942415681602064,0.9927579365079365
29,0.0017245548615581357,0.018334771915851887,0.9952011622962923,0.9942088293650794
30,0.0007793739414846641,0.013749745233235444,0.9970972649261118,0.9961061507936508
