epoch,train_loss,val_loss,val_f1,val_balanced_acc
1,0.8402741894245148,0.9142345726490021,0.5101886701246259,0.4683159722222222
2,0.6503939171791077,0.912668588757515,0.5352626845236794,0.5209697420634921
3,0.5528201925754547,0.879208217561245,0.5933970295641755,0.5984499007936508
4,0.4703739847898483,0.8642146080732346,0.651930782243384,0.6935763888888888
5,0.4098057797431946,0.8688052639365196,0.6254139871646758,0.6924603174603174
6,0.36984192039966585,0.8413931518793106,0.5119242273856697,0.49424603174603177
7,0.327296270108223,0.930462834239006,0.6316479338199732,0.6717881944444445
8,0.2792087216377258,0.8855999752879142,0.635922131147541,0.6833085317460318
9,0.24091004574894906,0.953890922665596,0.6343991497852275,0.6100818452380952
10,0.21716304013729096,0.982491135597229,0.6828825671451803,0.7004464285714286
11,0.20861218532323839,0.6436055302619934,0.7513065227285571,0.7011780753968254
12,0.10958004760891199,0.4795102871954441,0.8341914192487473,0.81640625
13,0.05821688177958131,0.3563872415572405,0.891803474456959,0.8891741071428572
14,0.03846074859686196,0.3961723245680332,0.89471648172656,0.8900669642857142
15,0.03154023497607559,0.3320583885535598,0.9046189100246609,0.9084945436507936
16,0.027798994666803627,0.3611161941662431,0.8867379977316553,0.8928075396825397
17,0.025887217294611038,0.36953615485690533,0.9064360914384236,0.8993303571428573
18,0.022306107890233396,0.35834649484604597,0.8999732239744078,0.8982514880952381
19,0.0228086535374634,0.2649651692248881,0.92396509917151,0.9195684523809524
20,0.0167652425554581,0.312444362975657,0.9300145405186533,0.9236607142857143
21,0.017737343568075447,0.3615210579358973,0.9225781075292329,0.9168898809523809
22,0.01730018007517792,0.21914789397269488,0.9350136569636018,0.9205357142857142
23,0.012998176988353953,0.21220184881240128,0.9516873215389597,0.9487599206349207
24,0.008392289174126927,0.2417660991894081,0.9309680660076158,0.9434275793650794
25,0.013383070433302783,0.23748807478987147,0.9428272932276134,0.9427455357142858
26,0.011441620645974763,0.21382957093883306,0.9492913056598118,0.945188492063492
27,0.014836286030977499,0.20093669882044196,0.9471577874174554,0.9476314484126984
28,0.007751710241020192,0.20758575081126765,0.9485518665720313,0.9437748015873015
29,0.003089648087997921,0.22175961155444385,0.9498109159250894,0.9418650793650793
30,0.0019262911337369587,0.20880309788044543,0.9573798900103165,0.9545510912698414
