epoch,fase,train_loss,val_loss,train_acc,val_acc,val_f1
0,1,0.4915487045151847,0.9523781803603274,0.8025428571428571,0.6916192706590834,0.4001296120751952
1,1,0.3370752430166517,0.8544425872425923,0.8666,0.7071763131482101,0.41276471022170214
2,1,0.29350306747300287,0.9650451893534657,0.8854857142857143,0.6840916694546672,0.3907201791412417
3,1,0.26473383726392474,1.0771441725684052,0.8948285714285714,0.6813315490130478,0.39915743576734214
4,1,0.24693503440448217,0.9044511809100287,0.905,0.733355637336902,0.41799030880979027
5,1,0.22243403987373625,0.8935057824225385,0.9147142857142857,0.7612077617932419,0.415528904171219
6,1,0.21281430108036314,1.1726698501281392,0.9174571428571429,0.7207259953161592,0.40649407300564355
7,1,0.20489705567870822,0.9974184728036087,0.9224,0.7425560388089663,0.42057492766489646
8,1,0.1921331853900637,0.9984407153494153,0.9275142857142857,0.7336901973904316,0.4173897354025304
9,1,0.18514991624014718,1.139584680976909,0.9303714285714285,0.7355302776848445,0.4076503667842698
10,2,0.13132449340820312,1.0860679538561406,0.9526,0.7334392773502844,0.3986480953851388
11,2,0.08427296454395566,1.2541381432607273,0.9692571428571428,0.7356139176982268,0.4186855505904107
12,2,0.0627262061561857,1.1887607547561927,0.9779714285714286,0.7459016393442623,0.41988246330753937
13,2,0.050162995678292854,1.3751284099776941,0.9826571428571429,0.741886918701907,0.42238528906113654
14,2,0.03936643849520811,1.277563322936685,0.9871142857142857,0.7466543994647039,0.44116995736514997
15,2,0.0339803918754682,1.124117281766721,0.9886857142857143,0.7763466042154566,0.43294347802526795
16,2,0.027726676190591285,1.3844835422491237,0.9912857142857143,0.7518400802944128,0.38618562846922727
17,2,0.025770022488172565,1.201025678468498,0.9916,0.7713282034125125,0.41879177517374905
18,2,0.023629877160383124,1.363350010707218,0.9925428571428572,0.7545165607226497,0.4397036626715476
19,2,0.016954267124213013,1.3097633144423428,0.9949142857142858,0.7714954834392773,0.4341205452249173
20,2,0.012994803961220065,1.329738828234481,0.9960285714285714,0.7638006022080963,0.41058245887095823
21,2,0.012295587289725829,1.4014156000863063,0.9962571428571428,0.7640515222482436,0.41177310026918773
